City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Cabo San Lucas,MX,22.89,-109.91,87.01,70,40,9.17,scattered clouds
252,Saint George,US,37.1,-113.58,79.0,35,1,8.05,clear sky
253,San Carlos De Bariloche,AR,-41.15,-71.31,68.0,18,0,17.22,clear sky
254,Vanimo,PG,-2.67,141.3,78.98,81,100,7.85,overcast clouds
255,Zinder,NE,13.81,8.99,86.0,19,45,6.93,dust
256,Gizo,SB,-8.1,156.84,82.36,77,100,8.19,moderate rain
257,Saint-Augustin,CA,51.23,-58.65,27.95,82,87,9.95,overcast clouds
258,Hervey Bay,AU,-25.3,152.85,64.0,81,16,8.9,few clouds
259,Yarada,IN,17.65,83.27,80.6,88,40,2.24,mist
260,Nusaybin,TR,37.08,41.22,60.8,72,64,9.17,broken clouds
261,Guerrero Negro,MX,27.98,-114.06,80.6,45,3,12.91,clear sky
262,Acapulco,MX,16.86,-99.89,87.8,66,20,9.17,few clouds
263,Manado,ID,1.49,124.85,75.2,94,20,2.24,few clouds
264,Pundaguitan,PH,6.37,126.17,82.53,74,77,2.04,broken clouds
265,Nortelandia,BR,-14.45,-56.8,92.71,37,54,2.98,broken clouds
266,Rio Branco,BR,-9.97,-67.81,91.4,49,0,5.82,clear sky
267,Kamina,CD,-8.74,24.99,66.99,88,80,3.8,broken clouds
268,Katsuura,JP,35.13,140.3,55.4,54,0,24.16,clear sky
269,Sola,VU,-13.88,167.55,78.8,94,75,7.76,broken clouds
270,Nuuk,GL,64.18,-51.72,37.4,93,100,58.61,overcast clouds
271,Chapais,CA,49.78,-74.85,19.4,85,90,10.29,overcast clouds
272,Geraldton,AU,-28.77,114.6,57.2,82,0,11.41,clear sky
273,Luderitz,NA,-26.65,15.16,60.01,88,0,4.23,clear sky
274,Port Keats,AU,-14.25,129.55,82.69,75,100,8.48,overcast clouds
275,Harper,LR,4.38,-7.72,79.39,85,17,8.7,few clouds
276,Cherskiy,RU,68.75,161.3,-7.06,86,0,4.29,clear sky
277,Meulaboh,ID,4.14,96.13,76.19,90,100,7.83,light rain
278,Palmer,US,42.16,-72.33,44.01,33,40,11.41,scattered clouds
279,Lorengau,PG,-2.02,147.27,81.07,76,96,3.62,overcast clouds
280,Vasai,IN,19.47,72.8,82.4,69,0,5.37,haze
281,Gimli,CA,50.63,-96.99,46.4,75,0,2.24,clear sky
282,Lahan,NP,26.73,86.5,69.66,65,13,3.44,few clouds
283,Mogoytuy,RU,51.28,114.92,21.47,93,100,6.17,overcast clouds
