City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Torit,SS,75.06,broken clouds,4.41,32.57,Diplomat Guest House
427,Pedasi,PA,78.06,overcast clouds,7.53,-80.03,Selina Pedasi
430,Isangel,VU,82.4,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
432,San Rafael,AR,84.0,few clouds,-34.62,-68.33,Hotel San Rafael
434,Mandan,US,75.2,clear sky,46.83,-100.89,Twin City Estates
435,Cartagena,CO,86.0,few clouds,10.4,-75.51,Costa Del Sol
444,Cotonou,BJ,80.6,few clouds,6.37,2.42,Novotel Cotonou Orisha
448,Swamimalai,IN,75.79,clear sky,10.95,79.33,Paradise Resort
451,Nampula,MZ,75.2,clear sky,-15.12,39.27,Tacab Residencial
455,Karratha,AU,77.41,clear sky,-20.74,116.85,ibis Styles Karratha
456,Birnin Kebbi,NG,81.3,broken clouds,12.45,4.2,Saffar Guest Inn Ltd
459,Urucara,BR,87.58,broken clouds,-2.54,-57.76,Pousada Maria Bonita
461,Banda Aceh,ID,79.05,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
466,Bama,NG,81.61,clear sky,11.52,13.69,UN Humanitarian Hub
467,Alyangula,AU,82.4,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
471,Canyon,US,75.0,broken clouds,34.98,-101.92,Holiday Inn Express & Suites Canyon
472,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
481,Coxim,BR,78.98,scattered clouds,-18.51,-54.76,Hotel Avenida
491,Great Bend,US,77.0,clear sky,38.36,-98.76,Best Western Angus Inn
494,Manaure,CO,83.17,broken clouds,11.78,-72.44,Del mar vendra
498,Luganville,VU,80.28,overcast clouds,-15.53,167.17,The Espiritu Hotel
499,Polewali,ID,79.03,light rain,-3.43,119.34,Lilianto Hotel
507,Port Blair,IN,80.42,scattered clouds,11.67,92.75,Fortune Resort Bay Island
510,Katherine,AU,84.2,broken clouds,-14.47,132.27,Pine Tree Motel
511,Campo Grande,BR,78.8,clear sky,-20.44,-54.65,OYO Hotel Iguaçu
513,George Town,MY,78.8,light rain,5.41,100.34,Cititel Penang
515,Guane,CU,77.13,overcast clouds,22.2,-84.09,base de Campismo LosPortales de Guane
517,Swan Hill,AU,75.31,overcast clouds,-35.34,143.55,Lazy River Motor Inn
523,Kaduqli,SD,80.73,scattered clouds,11.02,29.72,فندق الله جابو
525,Paka,MY,75.2,moderate rain,4.64,103.44,Rumbia Resort Villa Paka Terengganu
527,Saint Anthony,US,75.2,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
528,Caiaponia,BR,75.15,broken clouds,-16.96,-51.81,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
529,Howard Springs,AU,84.99,broken clouds,-12.5,131.05,buffalo beach hostel
535,Lasem,ID,78.39,broken clouds,-6.69,111.45,"Nyah Lasem | Museum, Guest House & Community Center"
537,Natal,BR,80.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
542,Labuhan,ID,79.16,broken clouds,-6.88,112.21,bador sepret
544,Buenavista,PH,79.25,overcast clouds,8.98,125.41,Brett Swimming Pool Club
548,Kailua,US,82.4,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
562,Buala,SB,84.38,light rain,-8.14,159.59,Maringe Lagoon Lodge
565,Praya,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
