City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Berlevag,NO,2020-10-31 18:32:58,70.86,29.09,33.66,90,100,12.17
150,Amanganj,IN,2020-10-31 18:37:34,24.43,80.03,71.98,26,83,1.72
151,Qingdao,CN,2020-10-31 18:37:35,36.1,120.37,63.0,82,90,7.78
152,San Pedro,PH,2020-10-31 18:37:35,14.35,121.02,80.01,78,75,3.36
153,Hokitika,NZ,2020-10-31 18:33:30,-42.72,170.97,52.43,80,100,9.13
154,Carnarvon,AU,2020-10-31 18:37:35,-24.87,113.63,69.8,83,40,8.05
155,Berea,US,2020-10-31 18:37:35,41.37,-81.85,48.99,52,1,10.29
156,Bambous Virieux,MU,2020-10-31 18:36:14,-20.34,57.76,68.0,77,20,6.93
157,Kalmunai,LK,2020-10-31 18:37:35,7.42,81.82,79.83,82,98,3.02
158,Alofi,NU,2020-10-31 18:37:35,-19.06,-169.92,73.4,94,86,13.87
159,Cordoba,AR,2020-10-31 18:36:02,-31.41,-64.18,81.0,23,0,5.82
160,East London,ZA,2020-10-31 18:37:36,-33.02,27.91,64.4,72,20,6.93
161,Mana,GF,2020-10-31 18:37:36,5.66,-53.78,86.2,66,46,14.16
162,Beringovskiy,RU,2020-10-31 18:33:57,63.05,179.32,18.91,94,100,11.52
163,Inhambane,MZ,2020-10-31 18:37:36,-23.86,35.38,77.0,73,40,6.93
164,Olga,RU,2020-10-31 18:37:36,43.74,135.29,46.44,90,96,5.57
165,Boende,CD,2020-10-31 18:37:36,-0.22,20.87,74.35,86,89,2.28
166,Pangody,RU,2020-10-31 18:33:31,65.85,74.49,31.3,99,100,11.45
167,Beyneu,KZ,2020-10-31 18:37:36,45.32,55.2,47.39,57,100,15.1
168,Sungaipenuh,ID,2020-10-31 18:37:36,-2.08,101.38,64.42,92,100,1.21
169,Lexington,US,2020-10-31 18:35:20,37.99,-84.48,57.99,54,1,8.05
170,Ibra,OM,2020-10-31 18:36:48,22.69,58.53,61.77,35,0,1.86
171,Faanui,PF,2020-10-31 18:37:37,-16.48,-151.75,78.82,74,30,20.47
172,Vaini,TO,2020-10-31 18:35:10,-21.2,-175.2,73.4,88,75,9.17
173,Merauke,ID,2020-10-31 18:36:52,-8.47,140.33,76.57,86,63,12.24
174,Airai,TL,2020-10-31 18:37:37,-8.93,125.41,59.97,74,4,2.06
175,Lisakovsk,KZ,2020-10-31 18:37:37,52.54,62.49,38.23,75,99,10.42
176,Tromso,NO,2020-10-31 18:37:37,69.65,18.96,41.0,74,75,25.28
177,Hofn,IS,2020-10-31 18:35:47,64.25,-15.21,42.66,79,100,11.21
178,Hamilton,US,2020-10-31 18:37:25,39.18,-84.53,55.99,50,1,9.17
179,Lakes Entrance,AU,2020-10-31 18:37:38,-37.88,147.98,54.0,94,54,6.42
180,Micheweni,TZ,2020-10-31 18:37:38,-4.97,39.83,78.15,78,0,11.05
181,San Cristobal,VE,2020-10-31 18:35:24,7.77,-72.22,87.8,62,40,12.75
182,Marzuq,YE,2020-10-31 18:37:38,14.4,46.47,66.31,51,0,2.06
183,Marsa Matruh,EG,2020-10-31 18:37:38,31.35,27.25,71.6,60,40,9.17
184,Colonia,DE,2020-10-31 18:35:36,50.93,6.95,60.01,67,0,9.17
185,Gumdag,TM,2020-10-31 18:37:38,39.21,54.59,63.7,24,0,14.83
186,Puerto Maldonado,PE,2020-10-31 18:37:39,-12.6,-69.18,86.0,42,75,6.93
